sample,time_s,elapsed_s,experiment,command_x_mps,command_y_mps,command_yaw_radps,gait_mode,stair_collision_enabled,slope_collision_enabled,foot,contact,touchdown,grf_x_n,grf_y_n,grf_z_n,grf_norm_n,toe_vx_mps,toe_vy_mps,toe_vz_mps,toe_speed_mps,precontact_vx_mps,precontact_vy_mps,precontact_vz_mps,precontact_speed_mps
14,5.03,0.028,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.804518851,0.681878149,-1.618316074,2.517973989,,,,
14,5.03,0.028,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-2.02670612,-1.010108227,-1.337394516,2.62992023,,,,
14,5.03,0.028,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.9313931559,0.2719066605,-0.9180135104,1.33573023,,,,
15,5.032,0.03,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.08242966533,-0.1333457382,-0.5026673595,0.526545544,,,,
15,5.032,0.03,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.78447877,0.746913332,-1.576487129,2.495507098,,,,
15,5.032,0.03,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.99307701,-1.097278064,-1.287021682,2.613962496,,,,
15,5.032,0.03,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.8612350091,0.3040390998,-0.8831630328,1.270489062,,,,
16,5.034,0.032,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.06658141119,-0.1292399487,-0.6029660887,0.620245236,,,,
16,5.034,0.032,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.862178623,0.7580180989,-1.665495251,2.610780553,,,,
16,5.034,0.032,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.948722301,-1.156767439,-1.281600355,2.603484009,,,,
16,5.034,0.032,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.8570515159,0.319695337,-0.9346437551,1.307784905,,,,
17,5.036,0.034,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.07238563256,-0.1322152972,-0.6706840478,0.6874137448,,,,
17,5.036,0.034,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.885977044,0.782858916,-1.693596921,2.652931967,,,,
17,5.036,0.034,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.886725969,-1.215879322,-1.260131381,2.574107322,,,,
17,5.036,0.034,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.8320181121,0.3413062529,-0.9601059018,1.315502733,,,,
18,5.038,0.036,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.09389569224,-0.1400760844,-0.7143650761,0.7339994362,,,,
18,5.038,0.036,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.869287784,0.8163104732,-1.680161393,2.642639195,,,,
18,5.038,0.036,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.812112241,-1.273186118,-1.228827523,2.532739771,,,,
18,5.038,0.036,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.7919673525,0.3667638766,-0.9675330809,1.303015077,,,,
19,5.04,0.038,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.1264236836,-0.1511600418,-0.7406891032,0.7664545998,,,,
19,5.04,0.038,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.822934195,0.8545398829,-1.639899182,2.596651078,,,,
19,5.04,0.038,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.72887352,-1.327686064,-1.192233748,2.48458754,,,,
19,5.04,0.038,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.7415009098,0.3944598151,-0.9629738627,1.277787465,,,,
20,5.042,0.04,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.1662867034,-0.1642231293,-0.7548240574,0.7901771077,,,,
20,5.042,0.04,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.755543161,0.8946986121,-1.583791908,2.528005974,,,,
20,5.042,0.04,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.640147452,-1.378713798,-1.153603345,2.433461748,,,,
20,5.042,0.04,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.6842225043,0.4231849729,-0.9509432358,1.245607881,,,,
21,5.044,0.042,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.1233286968,-0.1680525749,-0.8732184045,0.8977538735,,,,
21,5.044,0.042,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.766574034,0.893920153,-1.619381311,2.557786717,,,,
21,5.044,0.042,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.582070567,-1.383929449,-1.161148692,2.40134843,,,,
21,5.044,0.042,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.7398150089,0.4305066614,-1.048216155,1.353299428,,,,
22,5.046,0.044,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.108834919,-0.1811882266,-0.9508754809,0.9740833605,,,,
22,5.046,0.044,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.735694144,0.9025359128,-1.613812884,2.536059396,,,,
22,5.046,0.044,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.506725708,-1.390660056,-1.152089605,2.351907356,,,,
22,5.046,0.044,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.7620010304,0.4470446263,-1.105429421,1.415086101,,,,
23,5.048,0.046,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.1152505597,-0.2006705585,-0.9985663538,1.025029818,,,,
23,5.048,0.046,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.674680524,0.916680288,-1.581698502,2.479239351,,,,
23,5.048,0.046,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.419567183,-1.39758971,-1.132620844,2.291562341,,,,
23,5.048,0.046,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.7593621371,0.4697125616,-1.133975373,1.443315937,,,,
24,5.05,0.048,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.1366273244,-0.2242463582,-1.024708656,1.057819117,,,,
24,5.05,0.048,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.592843635,0.9335547217,-1.533825516,2.40026998,,,,
24,5.05,0.048,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.324862199,-1.403806976,-1.107278984,2.225309107,,,,
24,5.05,0.048,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.7386475878,0.4961627486,-1.142603864,1.448213148,,,,
25,5.052,0.05,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.1682931352,-0.2502194236,-1.035803541,1.078805504,,,,
25,5.052,0.05,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.497463055,0.9511835103,-1.477968558,2.309012068,,,,
25,5.052,0.05,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.225914581,-1.408707751,-1.079319627,2.156908655,,,,
25,5.052,0.05,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.7051498958,0.5246279128,-1.137942338,1.437839903,,,,
26,5.054,0.052,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.1107652768,-0.2598833695,-1.161910129,1.19576062,,,,
26,5.054,0.052,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.415652031,0.9396213948,-1.449457453,2.23335755,,,,
26,5.054,0.052,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.108340932,-1.373535961,-1.035453631,2.046261195,,,,
26,5.054,0.052,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.7704144571,0.5303394022,-1.232481644,1.547194015,,,,
27,5.056,0.054,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.08693714136,-0.2805197611,-1.241538083,1.275800225,,,,
27,5.056,0.054,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.317778086,0.9301865235,-1.408824161,2.141628252,,,,
27,5.056,0.054,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.993945293,-1.336741576,-0.9959627928,1.940810957,,,,
27,5.056,0.054,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.7988991563,0.5457810842,-1.285478751,1.608904121,,,,
28,5.058,0.056,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.08791701175,-0.3085921645,-1.287218773,1.326608719,,,,
28,5.058,0.056,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.210225688,0.9213966771,-1.362409029,2.04200304,,,,
28,5.058,0.056,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.8836901209,-1.298643168,-0.9612585853,1.841575515,,,,
28,5.058,0.056,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.8001199105,0.5675178806,-1.30902808,1.635794282,,,,
29,5.06,0.058,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.1067108451,-0.3414029426,-1.308714265,1.356715224,,,,
29,5.06,0.058,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.09782445,0.912286831,-1.31460261,1.940532352,,,,
29,5.06,0.058,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.7782132386,-1.259543938,-0.9314564653,1.749193506,,,,
29,5.06,0.058,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.7815359126,0.5929687394,-1.312373315,1.6385158,,,,
30,5.062,0.06,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.1378297905,-0.3769165543,-1.313529412,1.373471025,,,,
30,5.062,0.06,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.9841558745,0.9022722217,-1.268336232,1.841557695,,,,
30,5.062,0.06,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.6779046104,-1.219724851,-0.9064708109,1.664023048,,,,
30,5.062,0.06,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.7489741788,0.6202192001,-1.3024745,1.625445785,,,,
31,5.064,0.062,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.06389694226,-0.3919844965,-1.430465058,1.484575679,,,,
31,5.064,0.062,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.8243907146,0.8779426949,-1.187921092,1.691614597,,,,
31,5.064,0.062,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.5599943793,-1.156662418,-0.8540688543,1.543014991,,,,
31,5.064,0.062,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.8209230426,0.6232213894,-1.39292175,1.732786929,,,,
32,5.066,0.064,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.02590176705,-0.4180010235,-1.500291404,1.557648886,,,,
32,5.066,0.064,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.6807424049,0.8492122538,-1.123582869,1.564292216,,,,
32,5.066,0.064,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.4567065375,-1.091024371,-0.8153666962,1.436571574,,,,
32,5.066,0.064,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.8532839473,0.6362846152,-1.441282322,1.791716032,,,,
33,5.068,0.066,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.01442911082,-0.4512348117,-1.536065346,1.601036477,,,,
33,5.068,0.066,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.5514141889,0.8170714643,-1.072756505,1.456869899,,,,
33,5.068,0.066,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.3658011356,-1.024041938,-0.7876742014,1.342722238,,,,
33,5.068,0.066,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.8564088357,0.6557280767,-1.460120529,1.815314673,,,,
34,5.07,0.068,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.0220863495,-0.4888587303,-1.547912754,1.623423716,,,,
34,5.07,0.068,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.4347777804,0.7823753052,-1.033267123,1.367034669,,,,
34,5.07,0.068,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.2854290171,-0.956660245,-0.7688259191,1.260064221,,,,
34,5.07,0.068,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.8383781509,0.6788180083,-1.458982298,1.814469939,,,,
35,5.072,0.07,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.04308577906,-0.5287569698,-1.543573819,1.632194979,,,,
35,5.072,0.07,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.3293811089,0.7458538941,-1.003276126,1.292808157,,,,
35,5.072,0.07,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.2140685642,-0.8895969058,-0.7570781668,1.187592251,,,,
35,5.072,0.07,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.8054742081,0.7035536108,-1.445005143,1.797725298,,,,
36,5.074,0.072,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.03109731073,-0.543766301,-1.62903269,1.717671778,,,,
36,5.074,0.072,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.1481820344,0.7025616179,-0.9156418875,1.163593919,,,,
36,5.074,0.072,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.101545988,-0.8233758114,-0.6996743874,1.085266586,,,,
36,5.074,0.072,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.8625591244,0.7057737948,-1.517111581,1.882485708,,,,
37,5.076,0.074,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.0728128537,-0.5676228766,-1.674475167,1.769566197,,,,
37,5.076,0.074,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.002003585713,0.6530050444,-0.8565068841,1.077043938,,,,
37,5.076,0.074,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.01344892629,-0.7533933644,-0.6636979479,1.004130171,,,,
37,5.076,0.074,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.8821617104,0.7170663807,-1.551863971,1.923713924,,,,
38,5.078,0.076,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.09068343042,-0.5970474566,-1.691554097,1.796119265,,,,
38,5.078,0.076,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,0.1166697102,0.5993858014,-0.8188685358,1.02147973,,,,
38,5.078,0.076,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,0.05549704932,-0.6815485009,-0.6438631645,0.9392273719,,,,
38,5.078,0.076,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.8744469813,0.7339378445,-1.56092532,1.933858872,,,,
39,5.08,0.078,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.09145086865,-0.6295923529,-1.689220194,1.805052536,,,,
39,5.08,0.078,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,0.2137372109,0.5434234906,-0.7973418018,0.9883049298,,,,
39,5.08,0.078,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,0.1094378588,-0.6092490497,-0.6361022751,0.8875737456,,,,
39,5.08,0.078,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.8472994432,0.7538240922,-1.553057041,1.923058314,,,,
